Time,PPG
27.984,549.0
28.020,551.0
28.033,554.0
28.058,559.0
28.078,563.0
28.101,554.0
28.113,535.0
28.136,512.0
28.158,494.0
28.182,475.0
28.195,449.0
28.208,431.0
28.241,416.0
28.254,412.0
28.278,418.0
28.301,439.0
28.327,480.0
28.340,537.0
28.350,596.0
28.388,638.0
28.399,659.0
28.422,655.0
28.434,628.0
28.471,591.0
28.484,555.0
28.496,527.0
28.524,505.0
28.548,491.0
28.561,483.0
28.574,483.0
28.609,492.0
28.622,508.0
28.646,530.0
28.659,550.0
28.694,564.0
28.705,568.0
28.716,564.0
28.747,552.0
28.772,530.0
28.785,503.0
28.797,481.0
28.835,468.0
28.848,458.0
28.861,455.0
28.885,456.0
28.910,462.0
28.923,467.0
28.947,469.0
28.970,473.0
28.993,478.0
29.006,479.0
29.018,482.0
29.053,483.0
29.077,484.0
29.089,483.0
29.102,482.0
29.139,476.0
29.152,469.0
29.164,463.0
29.193,468.0
29.218,484.0
29.231,518.0
29.244,567.0
29.282,606.0
29.294,626.0
29.307,629.0
29.332,621.0
29.357,598.0
29.369,565.0
29.392,537.0
29.416,511.0
29.440,478.0
29.452,445.0
29.465,424.0
29.501,417.0
29.514,421.0
29.538,428.0
29.559,439.0
29.584,450.0
29.597,461.0
29.609,473.0
29.639,481.0
29.663,482.0
29.674,481.0
29.697,474.0
29.720,465.0
29.745,456.0
29.758,454.0
29.782,460.0
29.820,464.0
29.832,463.0
29.844,460.0
29.862,456.0
29.887,462.0
29.900,476.0
29.913,491.0
29.950,505.0
29.963,513.0
29.975,515.0
30.005,509.0
